column,mean,scale_or_std
gender,0.4623842933789281,0.498583050870562
admission_type_id,2.024006053102215,1.4453957281387797
discharge_disposition_id,3.7156417664052825,5.280139566555719
admission_source_id,5.754436648782501,4.06406086646155
time_in_hospital,4.395986871843248,2.985093100907283
medical_specialty,0.27727109290995633,0.2128960390227412
num_lab_procedures,43.09564098028811,19.67426558419223
num_procedures,1.339730361810428,1.705798598074593
num_medications,16.021844230882614,8.127526276448226
number_outpatient,0.36935715268360747,1.2672588701495553
number_emergency,0.19783621248747127,0.9304676967848132
number_inpatient,0.635565906098304,1.2628570853413517
diag_1,0.019803123371533993,0.021098422848023223
diag_2,0.02448744461955412,0.023151170913530323
diag_3,0.03197004783269916,0.03722601404706875
number_diagnoses,7.422606764538254,1.933590644747369
max_glu_serum,1.9869013226421397,0.1943409493788862
A1Cresult,2.0317001749110704,0.3588361616037669
change,0.46195192893500775,0.49855024249139945
diabetesMed,0.7700312481575379,0.4208124582500882
